list_name,name,label,Type,GrowthHabitSub,Duration,Foliar,fulllist
PlantsList,GULO3,GULO3    Gutierrezia longipappa    broom snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GULU,GULU    Gutierrezia lucida    threadleaf snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GUMI,GUMI    Gutierrezia microcephala (DC.) A. Gray    threadleaf snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GUPO2,GUPO2    Gutierrezia pomariensis    broom snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GUSAM,GUSAM    Gutierrezia sarothrae var. microcephala    threadleaf snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GUSAP,GUSAP    Gutierrezia sarothrae var. pomariensis    broom snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GUSP,GUSP    Gutierrezia sphaerocephala    roundleaf snakeweed,NonWoody,Forb,Annual,Y,Y
PlantsList,GUTE3,GUTE3    Gutierrezia tenuis    broom snakeweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,GUTIE,GUTIE    Gutierrezia Lag.    snakeweed,Woody,Shrub,Perennial,Y,Y
PlantsList,GYEL,GYEL    Gypsophila elegans M. Bieb.    showy baby s-breath,NonWoody,Forb,Annual,Y,Y
PlantsList,GYHI,GYHI    Gymnopteris hispida    copper fern,NonWoody,Forb,Perennial,Y,Y
PlantsList,GYPA,GYPA    Gypsophila paniculata L.    baby s breath,NonWoody,Forb,Perennial,Y,Y
PlantsList,HAAC,HAAC    Haplopappus acaulis    Stemless mock goldenweed,NonWoody,Forb,Perennial,Y,Y
PlantsList,HACY2,HACY2    Halerpestes cymbalaria    alkali crowfoot alkali buttercup,NonWoody,Forb,Perennial,Y,Y
PlantsList,HAFL2,HAFL2    Hackelia floribunda (Lehm.) I.M. Johnst.    manyflower stickseed,NonWoody,Forb,Perennial,Y,Y
PlantsList,HAGL,HAGL    Halogeton glomeratus    Saltlover,NonWoody,Forb,Annual,Y,Y
PlantsList,HALA5,HALA5    Haplopappus laricifolius    turpentine bush,Woody,Shrub,Perennial,Y,Y
PlantsList,HALOG,HALOG    Halogeton C.A. Mey.    saltlover,NonWoody,Forb,Annual,Y,Y
PlantsList,HAMI,HAMI    Hackelia micrantha (Eastw.) J.L. Gentry    Jessica sticktight,NonWoody,Forb,Perennial,Y,Y
PlantsList,HANU2,HANU2    Haplopappus nuttallii Torr. & A. Gray,NonWoody,Forb,Perennial,Y,Y
PlantsList,HAPLO,HAPLO    Haploesthes A. Gray    false broomweed,Woody,SubShrub,Perennial,Y,Y
PlantsList,HATR,HATR    Harbouria trachypleura (A. Gray) J.M. Coul.    whiskbroom parsley,NonWoody,Forb,Perennial,Y,Y
PlantsList,HAVI2,HAVI2    Hackelia virginiana (L.) I.M. Johnst.    beggarslice,NonWoody,Forb,Perennial,Y,Y
PlantsList,HAVI3,HAVI3    Halimolobos virgata (Nutt.) O.E. Schulz    rod halimolobos,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEAM11,HEAM11    Hedosyne ambrosiifolia    ragged marsh-elder,NonWoody,Forb,Annual,Y,Y
PlantsList,HEAN11,HEAN11    Heliomeris annua    longleaf false goldeneye,NonWoody,Forb,Annual,Y,Y
PlantsList,HEAN3,HEAN3    Helianthus annuus    Common sunflower,NonWoody,Forb,Annual,Y,Y
PlantsList,HEBO,HEBO    Hedysarum boreale Nutt.    Utah sweetvetch,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEBOB,HEBOB    Hedysarum boreale Nutt. ssp. boreale    Utah sweetvetch,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEBOB2,HEBOB2    Hedysarum boreale Nutt. ssp. boreale var. boreale    Utah sweetvetch,NonWoody,Forb,Perennial,Y,Y
PlantsList,HECO10,HECO10    Heteropogon contortus    tanglehead,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,HEDR,HEDR    Hedeoma drummondii Benth.    Drummond s false pennyroyal,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEDYS,HEDYS    Hedysarum spp.    Sweetvetch,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEFO9,HEFO9    Heterotheca foliosa (Nutt.) Shinners,NonWoody,Forb,Perennial,Y,Y
PlantsList,HELI6,HELI6    Hesperidanthus linearifolius (A. Gray) Rydb.,NonWoody,Forb,Perennial,Y,Y
PlantsList,HELIA,HELIA    Helianthella spp.    Helianthella,NonWoody,Forb,Perennial,Y,Y
PlantsList,HELIA3,HELIA3    Helianthus L.     sunflower,NonWoody,Forb,Perennial,Y,Y
PlantsList,HELOA2,HELOA2    Heliomeris longifolia var. annua    longleaf false goldeneye,NonWoody,Forb,Annual,Y,Y
PlantsList,HEMA2,HEMA2    Helianthus maximiliani Schrad.    Maximilian sunflower,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEMA3,HEMA3    Hesperis matronalis L.    dames rocket,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEMA80,HEMA80    Heracleum maximum W. Bartram    common cowparsnip,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEMI2,HEMI2    Helianthella microcephala    purpledisk helianthella,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEMU3,HEMU3    Heliomeris multiflora Nutt.    Non-woody Forb-herb,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEMUM,HEMUM    Heliomeris multiflora    showy goldeneye,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEMUN,HEMUN    Heliomeris multiflora Nutt. var. nevadensis (A. Nelson) Yates    Nevada goldeneye,NonWoody,Forb,Perennial,Y,Y
PlantsList,HENA,HENA    Hedeoma nana    dwarf false pennyroyal,NonWoody,Forb,Perennial,Y,Y
PlantsList,HENE5,HENE5    Hesperostipa neomexicana (Thurb. ex J.M. Coult.) Barkworth    New Mexico feathergrass,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,HENU,HENU    Helianthus nuttallii Torr. & A. Gray    Nuttall s sunflower,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEPA,HEPA    Helianthella parryi A. Gray    Parry s dwarf-sunflower,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEPA11,HEPA11    Heuchera parvifolia    littleleaf alum-root,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEPE,HEPE    Helianthus petiolaris Nutt.    prairie sunflower,NonWoody,Forb,Annual,Y,Y
PlantsList,HEPU14,HEPU14    Heterotheca pumila (Greene) Semple    alpine false goldenaster,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEPU3,HEPU3    Helianthus pumilus Nutt.    little sunflower,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEQU2,HEQU2    Helianthella quinquenervis (Hook.) A. Gray    fivenerve helianthella,NonWoody,Forb,Perennial,Y,Y
PlantsList,HESPM,HESPM    Heracleum sphondylium L. ssp. montanum (Schleich. ex Gaudin) Briq.,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEUN,HEUN    Helianthella uniflora (Nutt.) Torr. & A. Gray    oneflower helianthella,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEUN6,HEUN6    Helianthus uniflorus Nutt.,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEUNU,HEUNU    Helianthella uniflora (Nutt.) Torr. & A. Gray var. uniflora    oneflower helianthella,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEVIV,HEVIV    Heterotheca villosa (Pursh) Shinners var. villosa    hairy false goldenaster,NonWoody,Forb,Perennial,Y,Y
PlantsList,HEZI,HEZI    Heterotheca zionensis Semple    Zion false goldenaster,NonWoody,Forb,Perennial,Y,Y
PlantsList,HIAL2,HIAL2    Hieracium albiflorum Hook.    white hawkweed,NonWoody,Forb,Perennial,Y,Y
PlantsList,HIAU,HIAU    Hieracium aurantiacum L.    orange hawkweed,NonWoody,Forb,Perennial,Y,Y
PlantsList,HIBE,HIBE    Hilaria belangeri    curly-mesquite,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,HIDE,HIDE    Hibiscus denudatus    paleface,NonWoody,Forb,Perennial,Y,Y
PlantsList,HIDEI,HIDEI    Hibiscus denudatus var. involucellatus    paleface,NonWoody,Forb,Perennial,Y,Y
PlantsList,HIFE,HIFE    Hieracium fendleri Sch. Bip.    yellow hawkweed,NonWoody,Forb,Perennial,Y,Y
PlantsList,HIHI,HIHI    Hierochloe hirta (Schrank) Borb ¡s    northern sweetgrass,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,HIJA,HIJA    Hilaria jamesii (Torr.) Benth.,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,HILAR,HILAR    Hilaria    curly-mesquite,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,HIMU2,HIMU2    Hilaria mutica    tobosagrass,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,HOAC,HOAC    Houstonia acerosa    needleleaf bluet,NonWoody,Forb,Perennial,Y,Y
PlantsList,HOBR2,HOBR2    Hordeum brachyantherum Nevski    meadow barley,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,HODE,HODE    Hoffmannseggia densiflora    Indian rushpea,NonWoody,Forb,Perennial,Y,Y
PlantsList,HODEC,HODEC    Hoffmannseggia densiflora var. capitata    Indian rushpea,NonWoody,Forb,Perennial,Y,Y
PlantsList,HODED,HODED    Hoffmannseggia densiflora var. demissa    Indian rushpea,NonWoody,Forb,Perennial,Y,Y
PlantsList,HODEP,HODEP    Hoffmannseggia densiflora var. pringlei    Indian rushpea,NonWoody,Forb,Perennial,Y,Y
PlantsList,HODES,HODES    Hoffmannseggia densiflora var. stricta    Indian rushpea,NonWoody,Forb,Perennial,Y,Y
PlantsList,HODI,HODI    Holodiscus discolor (Pursh) Maxim.    oceanspray,Woody,Shrub,Perennial,Y,Y
PlantsList,HODU,HODU    Holodiscus dumosus (Nutt. ex Hook.) A. Heller    rockspirea,Woody,Shrub,Perennial,Y,Y
PlantsList,HOFA3,HOFA3    Hoffmannseggia falcaria    Indian rushpea,NonWoody,Forb,Perennial,Y,Y
PlantsList,HOHA,HOHA    Holcus halepensis    Johnsongrass,NonWoody,Graminoid,Perennial,Y,Y
PlantsList,HOJA3,HOJA3    Hoffmannseggia jamesii    James  holdback,NonWoody,Forb,Perennial,Y,Y
PlantsList,HOJU,HOJU    Hordeum jubatum L.    foxtail barley,NonWoody,Graminoid,Annual,Y,Y
PlantsList,HOPU,HOPU    Hordeum pusillum Nutt.    little barley,NonWoody,Graminoid,Annual,Y,Y
PlantsList,HYCA4,HYCA4    Hydrophyllum capitatum Douglas ex Benth.    ballhead waterleaf,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYCAC,HYCAC    Hydrophyllum capitatum Douglas ex Benth. var. capitatum    ballhead waterleaf,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYDRO4,HYDRO4    Hydrophyllum L.    waterleaf,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYFE,HYFE    Hydrophyllum fendleri (A. Gray) A. Heller    Fendler s waterleaf,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYFI,HYFI    Hymenopappus filifolius    white-ragweed fineleaf hymenopappus,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYFIC,HYFIC    Hymenopappus filifolius Hook. var. cinereus (Rydb.) I.M. Johnst.    fineleaf hymenopappus,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYFIL2,HYFIL2    Hymenopappus filifolius Hook. var. luteus (Nutt.) B.L. Turner    fineleaf hymenopappus,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYGR5,HYGR5    Hymenoxys grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYHO,HYHO    Hymenoxys hoopesii (A. Gray) Bierner    owl s-claws,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYIV,HYIV    Hymenoxys ivesiana (Greene) K.F. Parker,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYLI6,HYLI6    Hybanthus linearis    babyslippers,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYMEN4,HYMEN4    Hymenopappus L H  r.    hymenopappus,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYNI,HYNI    Hyoscyamus niger L.    black henbane,NonWoody,Forb,Annual,Y,Y
PlantsList,HYRIR,HYRIR    Hymenoxys richardsonii    pingue,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYVEP,HYVEP    Hybanthus verticillatus var. platyphyllus    babyslippers,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYVEV2,HYVEV2    Hybanthus verticillatus var. verticillatus    babyslippers,NonWoody,Forb,Perennial,Y,Y
PlantsList,HYWI,HYWI    Hymenothrix wislizeni    Trans-Pecos thimblehead,NonWoody,Forb,Annual,Y,Y
PlantsList,IBERI,IBERI    Iberis amara L.    annual candytuft,NonWoody,Forb,Annual,Y,Y
PlantsList,IBTE2,IBTE2    Ibervillea tenuisecta    slimlobe globeberry,NonWoody,Forb,Perennial,Y,Y
PlantsList,INER,INER    Inula ericoides    rose heath,Woody,SubShrub,Perennial,Y,Y
PlantsList,IPAGA3,IPAGA3    Ipomopsis aggregata spp. aggregata    Scarlet gilia,NonWoody,Forb,Perennial,Y,Y
PlantsList,IPAGC2,IPAGC2    Ipomopsis aggregata (Pursh) V.E. Grant ssp. collina (Greene) Wilken & Allred    Scarlet gilia,NonWoody,Forb,Perennial,Y,Y
