"Accepted Symbol","Synonym Symbol","Scientific Name","Family","Duration","Growth Habit","Native Status"
"OXAC4","","Oxytenia acerosa","Asteraceae","Perennial","Forb/herb, Shrub, Subshrub","L48(N)"
"OXYTR","","Oxytropis","Fabaceae","","","L48(I,N)CAN(N)"
"OXBE2","","Oxytropis besseyi","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OXBEO","","Oxytropis besseyi var. obnapiformis","Fabaceae","Perennial","Forb/herb","L48(N)"
"OXBO","","Oxytropis borealis","Fabaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"OXBOV","","Oxytropis borealis var. viscida","Fabaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"OXCA4","","Oxytropis campestris","Fabaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"OXCAC3","","Oxytropis campestris var. cusickii","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OXCAS3","","Oxytropis campestris var. spicata","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OXDE2","","Oxytropis deflexa","Fabaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"OXDEP2","","Oxytropis deflexa var. pulcherrima","Fabaceae","Perennial","Forb/herb","L48(N)"
"OXDES","","Oxytropis deflexa var. sericea","Fabaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"OXLA3","","Oxytropis lambertii","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OXLAB","","Oxytropis lambertii var. bigelovii","Fabaceae","Perennial","Forb/herb","L48(N)"
"OXLAL2","","Oxytropis lambertii var. lambertii","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OXMO2","","Oxytropis monticola","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OXMU","","Oxytropis multiceps","Fabaceae","Perennial","Forb/herb","L48(N)"
"OXPA2","","Oxytropis parryi","Fabaceae","Perennial","Forb/herb","L48(N)"
"OXPO","","Oxytropis podocarpa","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)"
"OXSE","","Oxytropis sericea","Fabaceae","Perennial","Forb/herb","L48(N)"
"OXSES","","Oxytropis sericea var. sericea","Fabaceae","Perennial","Forb/herb","L48(N)"
"OXSP","","Oxytropis splendens","Fabaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)"
"PACKE","","Packera","Asteraceae","","","L48(N)CAN(N,W)SPM(N)"
"PACA15","","Packera cana","Asteraceae","Perennial","Forb/herb, Subshrub","L48(N)CAN(N)"
"PACR5","","Packera crocata","Asteraceae","Perennial","Forb/herb","L48(N)"
"PADE22","","Packera debilis","Asteraceae","Perennial","Forb/herb","L48(N)"
"PADI11","","Packera dimorphophylla","Asteraceae","Perennial","Forb/herb","L48(N)"
"PADID3","","Packera dimorphophylla var. dimorphophylla","Asteraceae","Perennial","Forb/herb","L48(N)"
"PADII4","","Packera dimorphophylla var. intermedia","Asteraceae","Perennial","Forb/herb","L48(N)"
"PAFE4","","Packera fendleri","Asteraceae","Perennial","Forb/herb","L48(N)"
"PAMA2","","Packera mancosana","Asteraceae","Perennial","Forb/herb","L48(N)"
"PAMU11","","Packera multilobata","Asteraceae","Annual, Perennial","Forb/herb","L48(N)"
"PANE7","","Packera neomexicana","Asteraceae","Perennial","Forb/herb, Subshrub","L48(N)"
